mainpropid,relatedid
1,183
1,658
1,1171
1,1681
1,2188
1,2734
1,3288
1,3876
1,4328
1,4634
1,5368
1,5650
2,420
2,621
2,1353
2,1957
2,2187
2,2611
2,3192
2,3894
2,4315
2,4990
2,5154
2,5546
3,335
3,981
3,1332
3,1588
3,2446
3,2881
3,3397
3,3878
3,4027
3,4873
3,5140
3,5753
4,300
4,522
4,1130
4,1582
4,2414
4,2826
4,3171
4,3830
4,4047
4,4664
4,5013
4,5923
5,27
5,542
5,1103
5,1519
5,2275
5,2778
5,3332
5,3849
5,4051
5,4854
5,5316
5,5904
6,115
6,970
6,1212
6,1970
6,2362
6,2772
6,3207
6,3590
6,4085
6,4979
6,5141
6,5905
7,335
7,826
7,1365
7,1857
7,2018
7,2520
7,3360
7,3581
7,4342
7,4950
7,5316
7,5980
8,356
8,737
8,1352
8,1905
8,2293
8,2506
8,3240
8,3993
8,4006
8,4625
8,5393
8,5811
9,82
9,648
9,1437
9,1598
9,2396
9,2804
9,3245
9,3788
9,4487
9,4997
9,5202
9,5808
10,41
10,643
10,1297
10,1833
10,2035
10,2679
10,3440
10,3760
10,4154
10,4523
10,5456
10,5887
